ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,BINT_TIME1_DATE,Child_Age
192,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,14.8227241615332
192,Children From Other Unions,2,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,9.982203969883642
192,Non-Biological Children Under Five,,Male,,Yes,Other,Biolgical Mother, ,28 Jan 16,4.826830937713894
192,Non-Biological Children Under Five,,Male,,Yes,Other,Biolgical Mother, ,28 Jan 16,4.826830937713894
194,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,.6899383983572895
198,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Feb 16,27.58658453114305
198,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Feb 16,26.07529089664613
198,Children From Other Unions,3,,,,Biological Mother,, ,01 Feb 16,23.4798083504449
202,Children From Other Unions,1,Female,Yes,No,Biological Mother,Other Relative (Paternal), ,02 Feb 16,25.75770020533881
202,Children From Other Unions,1,Male,Yes,No,Biological Mother,Non-Relative, ,02 Feb 16,22.59000684462697
202,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Feb 16,19.17043121149897
202,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Feb 16,13.08692676249144
202,Children From Other Unions,1,Male,No,,Biological Mother,, ,02 Feb 16,22.75701574264203
202,Children From Other Unions,1,Male,No,,Biological Mother,, ,02 Feb 16,16.6735112936345
202,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Feb 16,7.753593429158111
203,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,18.74058863791923
203,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,10.72689938398357
205,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,1.541409993155373
206,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Feb 16,12.37234770704997
208,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,02 Feb 16,25.75770020533881
208,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,02 Feb 16,21.08692676249144
208,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,02 Feb 16,19.06639288158796
208,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,02 Feb 16,16.08761122518823
208,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,02 Feb 16,10.75701574264203
211,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,15.66050650239562
211,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,12.10951403148528
212,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,19.52908966461328
212,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,9.516769336071183
212,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,6.954140999315538
212,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,31 Jan 16,24.99110198494182
217,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,03 Feb 16,11.07734428473648
218,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Feb 16,8.361396303901437
220,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Feb 16,3.581108829568788
