PI7,ID,KST_Number,S19_1,S19_3,S19_4,S20_1,S20_3,S20_12,S20_13,S20_14,S20_15,S20_16,S20_18,S20_1_1,S20_1_2,S20_1_3,S20_2_1,S20_2_2,S20_2_3,S20_2_4,S20_2_5,S20_2_5_4,S20_2_5_0,S20_2_5_1,S20_2_5_2,S20_2_5_3,S20_2_5_97,S20_2_5_98,S20_3_1,S20_3_2,S20_3_3,S20_3_4,S20_3_5,S20_3_6,S20_3_6_0,S20_3_6_1,S20_3_6_2,S20_3_6_3,S20_3_6_4,S20_3_6_5,S20_3_6_6,S20_3_6_7,S20_3_6_8,S20_3_6_9,S20_3_6_97,S20_3_6_98,S20_3_7,S20_3_8,S20_3_9,S20_4_1,S20_4_2,S20_4_3,S20_4_3_1,S20_4_3_2,S20_4_3_3,S20_4_3_4,S20_4_3_5,S20_4_3_6,S20_4_3_7,S20_4_3_8,S20_4_3_97,S20_4_3_98,S20_4_5,S20_5_1,S20_5_2,S20_5_3,S20_5_4,S20_5_5,Additional_Record_Flag,KST_ID
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,64,Paternal Uncle,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74064
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,63,Paternal Uncle,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74063
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,73,Maternal Grandfather,Yes,80,No,,No,Yes,6<11 Hours,Bus,>= 1000 KSH, ,Not Employed And Not Looking For Work,,Average,Not In The last Month,Somewhat,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,74073
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,53,Paternal Aunt,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74053
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,65,Paternal Uncle,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,74065
149318B4-5D7F-4763-8660-968BF3C02B0C,12,75, Paternal Grandfather,No,,,,,,,,, ,,,,,,,,           .,,,,,,,,,,,,,           .,,,,,,,,,,,,,           .,,,,,           .,,,,,,,,,,,,,,,,,Yes,12075
149318B4-5D7F-4763-8660-968BF3C02B0C,12,52,Paternal Aunt,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,12052
149318B4-5D7F-4763-8660-968BF3C02B0C,12,42,Maternal Uncle,Yes,98,Yes,,No,,,,, ,Employed Full Time,Don't Know,Average,,,,, ,,,,,,,,Yes,Yes,500-999 Kshs,Half Of All Expenses,Regularly Every Month,1 2 3 4 5 6 7 8,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,500-999 Kshs,Satisfied,Yes,Less Than 1 Hour,4,No,No,No,Yes,No,No,No,No,No,No,Satisfied,Agree,Agree,Agree,Agree,Yes,No,12042
149318B4-5D7F-4763-8660-968BF3C02B0C,12,72,Maternal Grandmother,Yes,54,Yes,,No,,,,, ,Employed Full Time,5000-7499,Average,,,,, ,,,,,,,,Yes,Yes,500-999 Kshs,Half Of All Expenses,Regularly Every Month,1 2 3 4 5 6 7 8,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,1000-1999 Kshs,Satisfied,Yes,1-2 hours,1 2 8,Yes,Yes,No,No,No,No,No,Yes,No,No,Satisfied,Agree,Agree,Agree,Agree,Yes,No,12072
149318B4-5D7F-4763-8660-968BF3C02B0C,12,232,Maternal Aunt,Yes,39,No,,No,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,0,No,Yes,No,No,No,No,No,Yes,Yes,< 500 Kshs,Less Than Half Of All Expenses,Upon Request,6 7,No,No,No,No,No,No,Yes,Yes,No,No,No,No, ,Unsure/Don't Know,Satisfied,No,, ,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Don't Know,Yes,No,12232
